lane,lane2,p1,p2,p3,p4
:0_13_0,:0_12_0,0.0499999999999,5.25,13.25,0.0499999999999
:0_12_0,:0_13_0,8.05,8.05,0.0499999999999,0.0499999999999
:0_5_0,:0_15_0,13.85,13.85,4.95,6.28333333333
:0_15_0,:0_5_0,10.65,18.65,18.65,10.65
:0_5_0,:0_4_0,0.0499999999999,5.25,13.25,0.0499999999999
:0_4_0,:0_5_0,8.05,8.05,0.0499999999999,0.0499999999999
:0_7_0,:0_13_0,18.65,18.65,10.65,10.65
:0_13_0,:0_7_0,6.28333333333,13.85,13.85,4.95
:0_8_0,:0_13_0,9.95,9.95,2.05,2.05
:0_13_0,:0_8_0,8.25,21.25,21.25,16.15
:0_9_0,:0_13_0,2.15,9.35,9.35,2.15
:0_13_0,:0_9_0,19.35,19.35,12.15,12.15
:0_9_0,:0_4_0,21.25,21.25,16.15,8.25
:0_4_0,:0_9_0,2.05,9.95,9.95,2.05
:0_9_0,:0_5_0,12.15,19.35,19.35,12.15
:0_5_0,:0_9_0,9.35,9.35,2.15,2.15
:0_9_0,:0_7_0,15.75,15.75,6.82352941176,8.49117647059
:0_7_0,:0_9_0,2.05,10.15,10.15,2.05
:0_9_0,:0_8_0,0.0499999999999,5.25,13.25,0.0499999999999
:0_8_0,:0_9_0,8.05,8.05,0.0499999999999,0.0499999999999
:0_11_0,:0_13_0,2.05,2.05,10.15,10.15
:0_13_0,:0_11_0,15.75,6.82352941176,8.49117647059,15.75
:0_11_0,:0_15_0,8.00731100045,8.15061837456,14.8882070438,18.272515213
:0_15_0,:0_11_0,12.9275524003,1.2704909285,6.12155477032,12.7136939792
:0_11_0,:0_7_0,6.12155477032,12.7136939792,12.9275524003,1.2704909285
:0_7_0,:0_11_0,14.8882070438,18.272515213,8.00731100045,8.15061837456
:0_0_0,:0_5_0,9.95,9.95,2.05,2.05
:0_5_0,:0_0_0,8.25,21.25,21.25,16.15
:0_1_0,:0_12_0,21.25,21.25,16.15,8.25
:0_12_0,:0_1_0,2.05,9.95,9.95,2.05
:0_1_0,:0_13_0,12.15,19.35,19.35,12.15
:0_13_0,:0_1_0,9.35,9.35,2.15,2.15
:0_1_0,:0_15_0,15.75,15.75,6.82352941176,8.49117647059
:0_15_0,:0_1_0,2.05,10.15,10.15,2.05
:0_1_0,:0_5_0,2.15,9.35,9.35,2.15
:0_5_0,:0_1_0,19.35,19.35,12.15,12.15
:0_1_0,:0_11_0,13.85,13.85,4.95,6.28333333333
:0_11_0,:0_1_0,10.65,18.65,18.65,10.65
:0_1_0,:0_0_0,0.0499999999999,5.25,13.25,0.0499999999999
:0_0_0,:0_1_0,8.05,8.05,0.0499999999999,0.0499999999999
:0_3_0,:0_15_0,6.12155477032,12.7136939792,12.9275524003,1.2704909285
:0_15_0,:0_3_0,14.8882070438,18.272515213,8.00731100045,8.15061837456
:0_3_0,:0_5_0,2.05,2.05,10.15,10.15
:0_5_0,:0_3_0,15.75,6.82352941176,8.49117647059,15.75
:0_3_0,:0_7_0,8.00731100045,8.15061837456,14.8882070438,18.272515213
:0_7_0,:0_3_0,12.9275524003,1.2704909285,6.12155477032,12.7136939792
:0_3_0,:0_9_0,18.65,18.65,10.65,10.65
:0_9_0,:0_3_0,6.28333333333,13.85,13.85,4.95
